NC/RC,% Ri,shi,0.9/intop1(T)
RC,3.565,1.8,0.925774541
RC,3.565,1.9,0.925986977
RC,3.565,2,0.926207468
RC,4.06,0,0.924985773
RC,4.06,0.1,0.925005443
RC,4.06,0.2,0.92503819
RC,4.06,0.3,0.925083829
RC,4.06,0.4,0.925142158
RC,4.06,0.5,0.925212957
RC,4.06,0.6,0.925295997
RC,4.06,0.7,0.92539103
RC,4.06,0.8,0.925497801
RC,4.06,0.9,0.925616038
RC,4.06,1,0.925745462
RC,4.06,1.1,0.92588578
RC,4.06,1.2,0.92603669
RC,4.06,1.3,0.926197881
RC,4.06,1.4,0.926369034
RC,4.06,1.5,0.926549822
RC,4.06,1.6,0.926739909
RC,4.06,1.7,0.926938953
RC,4.06,1.8,0.927146607
RC,4.06,1.9,0.927362522
RC,4.06,2,0.927586342
RC,4.555,0,0.926280307
RC,4.555,0.1,0.926305572
RC,4.555,0.2,0.926343842
RC,4.555,0.3,0.92639493
RC,4.555,0.4,0.926458627
RC,4.555,0.5,0.926534709
RC,4.555,0.6,0.926622939
RC,4.555,0.7,0.926723067
RC,4.555,0.8,0.92683483
RC,4.555,0.9,0.926957953
RC,4.555,1,0.927092151
RC,4.555,1.1,0.927237128
RC,4.555,1.2,0.927392575
RC,4.555,1.3,0.927558179
RC,4.555,1.4,0.927733615
RC,4.555,1.5,0.927918554
RC,4.555,1.6,0.928112654
RC,4.555,1.7,0.928315572
RC,4.555,1.8,0.928526957
RC,4.555,1.9,0.928746457
RC,4.555,2,0.928973711
RC,5.05,0,0.927580135
RC,5.05,0.1,0.927611084
RC,5.05,0.2,0.927654967
RC,5.05,0.3,0.927711594
RC,5.05,0.4,0.927780748
RC,5.05,0.5,0.927862201
RC,5.05,0.6,0.927955711
RC,5.05,0.7,0.928061023
RC,5.05,0.8,0.928177867
RC,5.05,0.9,0.928305966
RC,5.05,1,0.928445028
RC,5.05,1.1,0.928594753
RC,5.05,1.2,0.928754829
RC,5.05,1.3,0.928924937
RC,5.05,1.4,0.929104749
RC,5.05,1.5,0.929293932
RC,5.05,1.6,0.92949214
RC,5.05,1.7,0.929699027
RC,5.05,1.8,0.92991424
RC,5.05,1.9,0.930137421
RC,5.05,2,0.930368209
RC,5.545,0,0.928884122
RC,5.545,0.1,0.928920834
RC,5.545,0.2,0.92897041
RC,5.545,0.3,0.929032654
RC,5.545,0.4,0.929107345
RC,5.545,0.5,0.929194249
RC,5.545,0.6,0.929293118
RC,5.545,0.7,0.929403693
RC,5.545,0.8,0.929525699
RC,5.545,0.9,0.929658854
RC,5.545,1,0.929802861
RC,5.545,1.1,0.929957416
RC,5.545,1.2,0.930122203
RC,5.545,1.3,0.930296898
RC,5.545,1.4,0.930481171
RC,5.545,1.5,0.930674682
RC,5.545,1.6,0.930877085
RC,5.545,1.7,0.931088029
RC,5.545,1.8,0.931307157
RC,5.545,1.9,0.931534109
RC,5.545,2,0.931768523
RC,6.04,0,0.930191185
RC,6.04,0.1,0.930233731
RC,6.04,0.2,0.93028907
RC,6.04,0.3,0.930357001
RC,6.04,0.4,0.930437299
RC,6.04,0.5,0.930529723
RC,6.04,0.6,0.930634022
RC,6.04,0.7,0.93074993
RC,6.04,0.8,0.93087717
RC,6.04,0.9,0.931015452
RC,6.04,1,0.931164476
RC,6.04,1.1,0.931323934
RC,6.04,1.2,0.931493506
RC,6.04,1.3,0.931672863
RC,6.04,1.4,0.931861671
RC,6.04,1.5,0.932059588
RC,6.04,1.6,0.932266264
RC,6.04,1.7,0.932481344
RC,6.04,1.8,0.932704468
RC,6.04,1.9,0.932935275
RC,6.04,2,0.933173397
RC,6.535,0,0.931500308
RC,6.535,0.1,0.931548747
RC,6.535,0.2,0.931609909
RC,6.535,0.3,0.931683588
RC,6.535,0.4,0.931769552
RC,6.535,0.5,0.931867558
RC,6.535,0.6,0.931977348
RC,6.535,0.7,0.932098651
RC,6.535,0.8,0.932231185
RC,6.535,0.9,0.932374657
RC,6.535,1,0.932528762
RC,6.535,1.1,0.932693188
RC,6.535,1.2,0.932867609
RC,6.535,1.3,0.933051694
RC,6.535,1.4,0.933245106
RC,6.535,1.5,0.933447497
RC,6.535,1.6,0.933658515
RC,6.535,1.7,0.933877803
RC,6.535,1.8,0.934105002
RC,6.535,1.9,0.934339472
RC,6.535,2,0.934581158
RC,7.03,0,0.932810517
RC,7.03,0.1,0.932864901
RC,7.03,0.2,0.932931937
RC,7.03,0.3,0.933011414
RC,7.03,0.4,0.933103097
RC,7.03,0.5,0.933206736
RC,7.03,0.6,0.933322069
RC,7.03,0.7,0.933448819
RC,7.03,0.8,0.933586702
RC,7.03,0.9,0.933735418
RC,7.03,1,0.933894659
RC,7.03,1.1,0.934064108
RC,7.03,1.2,0.934243435
RC,7.03,1.3,0.934432308
RC,7.03,1.4,0.934630382
RC,7.03,1.5,0.934837308
RC,7.03,1.6,0.935052731
RC,7.03,1.7,0.93527629
RC,7.03,1.8,0.935507619
RC,7.03,1.9,0.935746351
RC,7.03,2,0.935992113
RC,7.525,0,0.934120904
RC,7.525,0.1,0.934181275
RC,7.525,0.2,0.934254227
RC,7.525,0.3,0.934339546
RC,7.525,0.4,0.93443699
RC,7.525,0.5,0.934546305
RC,7.525,0.6,0.934667224
RC,7.525,0.7,0.934799467
RC,7.525,0.8,0.934942742
RC,7.525,0.9,0.935096748
RC,7.525,1,0.935261172
RC,7.525,1.1,0.935435691
RC,7.525,1.2,0.935619975
RC,7.525,1.3,0.935813683
RC,7.525,1.4,0.936016471
RC,7.525,1.5,0.936227986
RC,7.525,1.6,0.936447868
RC,7.525,1.7,0.936675755
